CODIGO;ROTA;CGC;I.EST;RAZ�O;FANTASIA;RUA;NR;CIDADE;UF;CEP;BAIRRO;TELEFONE;SUBCANAL;SEMANA;SEQUENCIA;EMAIL;TABELA;GRUPO NEGOCIO;VENDEDOR;SUPERVISOR;AREA;FORMA PGTO ORIGINAL;DIAS M�XIMOS;ROTATIVIDADE;DATA CADASTRO;DATA INATIVA��O;ESTATUS;CLUSTER/GEC;REF PET;LS;RGB;ULT.COMPRA;LIMITE CR�DT.;ACR�SCIMO;VENDEDOR 2;SEMANA 2;ROTATIVIDADE 2;DISTRIBUIDORA;LATITUDE;LONGITUDE;NAO PERMITE ALT.REST.ATUAL;NAO COBRAR CUSTO COB. BOLETO;cod.cid;FORMA PGTO ATUAL;COBERTURA;TELEFONE 2; TELEFONE 3; TELEFONE 4;PROMOTOR;PROMOTOR EQ2; CANAL; ESP�CIE
1;1;77102192000171;4260087776;AUTO POSTO ALTO ALEGRE LTDA                                 ;POSTO ALTO ALEGRE             ;RUA VEREADOR JOSE BIESDORF              ;2000;SANTA HELENA             ;PR;85892000;ALTO ALEGRE              ;4532681431;       ;SEG,QUI             ;390;                                                                                                    ;3;4;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ; 1/05/00;        ;ATIVO         ;PRATA                    ;SIM;SIM;SIM; 9/06/22;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;-024.87243700;-054.33462120;NAO;NAO;23501;Livre                                                                                                                   ;SIM;45999726114;0;0;0;0;C-STORE                       ;J
2;1;7207838000108;9032907900;HENDSCKE E HENDSCKE LTDA ME                                 ;PAN E CON DOCE SONHO          ;R MINAS GERAIS                          ;2144;SANTA HELENA             ;PR;85892000;VILA RICA                ;45000000000;PADARIA                       ;SEG,QUI             ;200;                                                                                                    ;25;6;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ; 7/03/22;INATIVO       ;PRATA                    ;SIM;SIM;NAO;10/01/22;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;-024.86631470;-054.33419720;NAO;NAO;23501;Livre                                                                                                                   ;SIM;45988307615;0;0;0;0;TRADICIONAL                   ;J
3;1;5355290000100;9026811241;J D DELIBERAL & CIA LTDA EPP                                ;MERCADO CAPONERA              ;RUA MINAS GERAIS                        ;2271;SANTA HELENA             ;PR;85892000;VILA RICA                ;4532681317;SUPERMERCADO 5 -19 Cks        ;SEG,QUI             ;190;mercado_caponera@hotmail.com                                                                        ;73;2;006-ALDAIR CARLOS DAL'SOTTO             ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ; 1/05/00;        ;ATIVO         ;DIAMANTE                 ;SIM;SIM;SIM; 9/06/22;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;-024.86735260;-054.33399310;NAO;NAO;23501;Livre                                                                                                                   ;SIM;45988064646;0;0;0;0;HIPER & SUPER                 ;J
4;1;8517878000100;9039482999;MARIA DE LOURDES  WOLFART ME                                ;BAR DO ADIR                   ;RUA BELO HORIZONTE                      ;171;SANTA HELENA             ;PR;85892000;VILA RICA                ;45988241031;BAR BOTECO                    ;QUI                 ;210;                                                                                                    ;35;8;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ; 1/05/00;        ;ATIVO         ;PRATA                    ;SIM;SIM;SIM; 6/06/22;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;-024.86631097;-054.33424051;NAO;NAO;23501;Livre                                                                                                                   ;SIM;4588241031;45988076059;0;0;0;MERCADO FRIO                  ;J
5;2;70342466968;              ;ELTON NASCIMENTO DA SILVA                                   ;AVENIDA LANCHES               ;AV. BRASIL,                             ;2330;SANTA HELENA             ;PR;85892000;CENTRO                   ;45032683715;               ;QUI                 ;30;                                                                                                    ;3;4;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ; 1/11/17;INATIVO       ;BRONZE                   ;SIM;SIM;NAO;28/10/17;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;MERCADO FRIO                  ;F
6;2;64797368934;50426432;LUCIA DA SILVA                                              ;MERC FLORESTA                 ;RUA BRASILIA                            ;20;SANTA HELENA             ;PR;85892000;SAO CLEMENTE             ;45032682829;MERCEARIA                     ;QUI                 ;400;                                                                                                    ;25;6;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ; 2/05/19;INATIVO       ;OURO                     ;SIM;SIM;NAO;18/04/19;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;TRADICIONAL                   ;F
7;1;34677209000106;ISENTO        ;OTACILIO CAVALLI 33257736991                                ;MERCADO CAVALLI               ;AV BRASIL                               ;2560;SANTA HELENA             ;PR;85892000;CENTRO                   ;45032681275;SUPERMERCADO 1-4 Cks          ;SEG,QUI             ;150;                                                                                                    ;25;6;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ; 1/05/00;        ;ATIVO         ;PRATA                    ;SIM;SIM;SIM; 9/06/22;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;-024.86879330;-054.33824000;NAO;NAO;23501;Livre                                                                                                                   ;SIM;45999972940;0;0;0;0;HIPER & SUPER                 ;JC
8;2;24764299020;9046661832;ELEMAR N. PATZLAFF                                          ;BOITE DO ELEMAR               ;TUPI                                    ;SN   ;SANTA HELENA             ;PR;85892000;SAO CLEMENTE             ;45099776704;DANCETERIA/BOITE              ;SEG,QUI             ;450;                                                                                                    ;1;0;002-FABIANO DA VEIGA                    ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ;        ;15/06/04;INATIVO       ;PRATA                    ;SIM;SIM;SIM; 8/06/04;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;             ;             ;NAO;NAO;23501;Livre                                                                                                                   ;NAO;0;0;0;0;0;MERCADO FRIO                  ;F
9;1;3191154000104;9018519566;A G L PRODUTOS FARMACEUTICOS LTDA EPP                       ;FARMACIA REAL                 ;AV  BRASIL                              ;1616;SANTA HELENA             ;PR;85892000;CENTRO                   ;45032681288;DROGARIA                      ;SEG,QUI             ;90;farmaciareal1616@hotmail.com                                                                        ;3;4;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ; 1/05/00;        ;ATIVO         ;PRATA                    ;SIM;SIM;SIM; 9/06/22;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;-024.86038459;-054.33501969;NAO;NAO;23501;Livre                                                                                                                   ;NAO;45988178011;0;0;0;0;C-STORE                       ;J
10;1;0;9032789274;S.DELIBERAL E CIA LTDA                                      ;BAR COLONIAL                  ;AV BRASIL                               ;2761;SANTA HELENA             ;PR;85892000;CENTRO                   ;45998440679;BAR BOTECO                    ;QUI                 ;310;                                                                                                    ;35;8;001-JEFERSON AMARAL DOS REIS            ;01-                                     ;0;Livre                                                                                                                   ;0;Semanal             ; 1/05/00;        ;ATIVO         ;PRATA                    ;SIM;SIM;SIM; 9/06/22;0;SIM;N/D                                     ;N/D                 ;N/D                 ;06187813000119: RAF DIST DE BEBIDAS LTDA      ;-024.87061549;-054.33872282;NAO;NAO;23501;Livre                                                                                                                   ;SIM;0;0;0;0;0;MERCADO FRIO                  ;J
