Dias de Visita;Dia 1;Dia 2;Dia 3;Dia 4;Dia 5;Dia 6
SEG,TER,QUA;2;3;4;;;
SEG,TER,QUA,QUI,SEX;2;3;4;5;6;7
SEG,TER,QUA,QUI,SEX;2;3;4;5;6;
SEG,TER,QUA,QUI,SAB;2;3;4;5;7;
SEG,TER,QUA,QUI;2;3;4;5;;
SEG,TER,QUA,SEX;2;3;4;6;;
SEG,TER,QUI,SEX,SAB;2;3;5;6;7;
SEG,TER,SEX;2;3;6;;;
SEG,TER;2;3;;;;
SEG,QUA,QUI,SEX;2;4;5;6;;
SEG,QUA,QUI;2;4;5;;;
SEG,QUA,SEX;2;4;6;;;
SEG,QUA;2;4;;;;
SEG,QUI,SEX;2;5;6;;;
SEG,QUI,SAB;2;5;7;;;
SEG,QUI;2;5;;;;
SEG,SEX;2;6;;;;
SEG,SAB;2;7;;;;
SEG;2;;;;;
TER,QUA,QUI,SEX;3;4;5;6;;
TER,QUA,QUI;3;4;5;;;
TER,QUA,SEX,SAB;3;4;6;7;;
TER,QUA;3;4;;;;
TER,QUI,SEX;3;5;6;;;
TER,QUI;3;5;;;;
TER,SEX,SAB;3;6;7;;;
TER,SEX;3;6;;;;
TER,SAB;3;7;;;;
TER;3;;;;;
QUA,QUI;4;5;;;;
QUA,SEX;4;6;;;;
QUA,SAB;4;7;;;;
QUA;4;;;;;
QUI,SEX;5;6;;;;
QUI;5;;;;;
SEX;6;;;;;
SAB;7;;;;;
BALCAO/NAO DEFINIDO;;;;;;
CLIENTE LIGA;;;;;;
VISITAS EVENTUAIS;;;;;;
VISITAS QUINZENAIS;;;;;;
