Data,Dia da Semana,Mes,Descritivo,Município,Territorio,Ano,Data fixa
2020-01-01,qua,jan,CONFRATERNIZAÇÃO UNIVERSAL,*TODOS,BR,2020,Sim
2020-02-25,ter,fev,CARNAVAL,*TODOS,BR,2020,Não
2020-04-10,sex,abr,PAIXÃO DE CRISTO,*TODOS,BR,2020,Não
2020-04-21,ter,abr,TIRADENTES,*TODOS,BR,2020,Sim
2020-05-01,sex,mai,DIA MUNDIAL DO TRABALHO,*TODOS,BR,2020,Sim
2020-06-11,qui,jun,CORPUS CHRISTI,*TODOS,BR,2020,Não
2020-09-07,seg,set,INDEPENDÊNCIA DO BRASIL,*TODOS,BR,2020,Sim
2020-10-12,seg,out,NOSSA SENHORA APARECIDA,*TODOS,BR,2020,Sim
2020-11-02,seg,nov,FINADOS,*TODOS,BR,2020,Sim
2020-11-15,dom,nov,PROCLAMAÇÃO DA REPÚBLICA,*TODOS,BR,2020,Sim
2020-12-25,sex,dez,NATAL,*TODOS,BR,2020,Sim
2021-01-01,sex,jan,CONFRATERNIZAÇÃO UNIVERSAL,*TODOS,BR,2021,Sim
2021-02-16,ter,fev,CARNAVAL,*TODOS,BR,2021,Não
2021-04-02,sex,abr,PAIXÃO DE CRISTO,*TODOS,BR,2021,Não
2021-04-21,qua,abr,TIRADENTES,*TODOS,BR,2021,Sim
2021-05-01,sab,mai,DIA MUNDIAL DO TRABALHO,*TODOS,BR,2021,Sim
2021-06-03,qui,jun,CORPUS CHRISTI,*TODOS,BR,2021,Não
2021-09-07,ter,set,INDEPENDÊNCIA DO BRASIL,*TODOS,BR,2021,Sim
2021-10-12,ter,out,NOSSA SENHORA APARECIDA,*TODOS,BR,2021,Sim
2021-11-02,ter,nov,FINADOS,*TODOS,BR,2021,Sim
2021-11-15,seg,nov,PROCLAMAÇÃO DA REPÚBLICA,*TODOS,BR,2021,Sim
2021-12-25,sab,dez,NATAL,*TODOS,BR,2021,Sim
2022-01-01,sab,jan,CONFRATERNIZAÇÃO UNIVERSAL,*TODOS,BR,2022,Sim
2022-03-01,ter,mar,CARNAVAL,*TODOS,BR,2022,Não
2022-04-15,sex,abr,PAIXÃO DE CRISTO,*TODOS,BR,2022,Não
2022-04-21,qui,abr,TIRADENTES,*TODOS,BR,2022,Sim
2022-05-01,dom,mai,DIA MUNDIAL DO TRABALHO,*TODOS,BR,2022,Sim
2022-06-16,qui,jun,CORPUS CHRISTI,*TODOS,BR,2022,Não
2022-09-07,qua,set,INDEPENDÊNCIA DO BRASIL,*TODOS,BR,2022,Sim
2022-10-12,qua,out,NOSSA SENHORA APARECIDA,*TODOS,BR,2022,Sim
2022-11-02,qua,nov,FINADOS,*TODOS,BR,2022,Sim
2022-11-15,ter,nov,PROCLAMAÇÃO DA REPÚBLICA,*TODOS,BR,2022,Sim
2022-12-25,dom,dez,NATAL,*TODOS,BR,2022,Sim
