Código Cidade;Cidade;Cidade INE
4106605;CRUZEIRO DO OESTE;SIM
4203006;CACADOR;SIM
4203600;CAMPOS NOVOS;SIM
4104600;CAPITAO LEONIDAS MARQUES;SIM
2303501;CASCAVEL;SIM
3124203;ESPERA FELIZ;SIM
4219309;VIDEIRA;SIM
3135100;JANAUBA;SIM
4209003;JOACABA;SIM
4209300;LAGES;SIM
3139409;MANHUACU;SIM
2704609;MARAVILHA;SIM
4117909;PALOTINA;SIM
3147709;PASSA TEMPO;SIM
2109809;SANTA HELENA;SIM
3162500;SAO JOAO DEL REI;SIM
4217204;SAO MIGUEL DO OESTE;SIM
3305802;TERESOPOLIS;SIM
4128005;UBIRATA;SIM
4128104;UMUARAMA;SIM
3172004;VISCONDE DO RIO BRANCO;SIM
3101607;ALFENAS;SIM
4110953;ITAIPULANDIA;SIM
