sku;Produto
55200;CC 2,5L 6UN
55202;CC BAG 10L
55203;CC 600 PET 12
55209;COCA COLA PET 2L 6UN.
55227;FANTA LAR SEM ACUCAR PET2L 6UN
55247;SPRITE SA LT SIX FILME LISO
55279;CC LS 12 SEM PRECO
55280;COCA COLA PET-1,5L 06UN FL
55281;COCA COLA 1,5L 8
55282;CC 2,25L 6
55283;CC BAG 18L
55286;FANTA UVA LT 06UN FL
55316;COCA COLA PET 2,5L 06UN CP
55330;FTLAR 1,5L 8
55341;FANTA LARANJA PET 3L 6UN
55342;FANTA LARANJA PET RET 2 LITROS 09UN
55343;CC SEM ACUCAR PET RET 2L 09U
55376;SCHW CITRUS SA LT 350ML 6U FI
55380;SCHW TONICA LT6
55384;CC SEM ACUCAR PET 2,5L 6U FL
55388;CC SEM ACUCAR LT 350ML 6U FL
55399;CC KS 24
55404;COCA COLA LT12 350ML FL
55405;CC LT 12 FI
55406;CC LT6 350ML PROMO
55410;CC 600 PET6UN PROMO
55441;FTLAR LT 12 FL
55445;FTLAR LT06 FI (LEVE MAIS PAGUE MENOS)
55447;FTA UVA LT12
55452;FTUVA 600 12
55454;FANTA LARANJA PET1,5L 06UN FL
55459;FTA LAR PET 2L
55460;FTA UVA PET 2L 06UN
55464;FTLAR BAG 5L
55469;KUAT LT12
55472;KT LT 6 (LEVE MAIS PAGUE MENOS)
55473;KUAT PET 600 SIX FI
55474;KUAT PET600 12UN
55477;KUAT PET 2L 06UN
55497;SIMBA LAR PET 2L 06UN
55499;SPRITE ORIGINAL KS 24
55563;FTLAR 310 24
55566;FT UVA KS 310
55568;CC PET RET 2L 9
55569;CC SEM ACUCAR PET 2L 6U FL
55570;CC SEM ACUCAR PET 600ML 6U FI LMPM
55571;CC SEM ACUCAR PET 600ML 12U FL
55572;CC SEM ACUCAR LT 350ML 6U FI LMPM
55573;CC SEM ACUCAR LT 350ML 12U FL
55595;CC SEM ACUCAR PET 1,5L 4U FI LMPM
55609;CC LS 12 STD
55628;CC SEM ACUCAR PET 1,5L 8U FL
55640;CC PET1,5 4PACK LM PM
55664;CC ZERO KS 24
55707;KUAT PET 600 06UN F.LISO
55720;CC SEM ACUCAR BAG 5L
55729;SPRITE SA LIM BAG 5L
55732;SPRITE SA PET 2L 06UN
55735;CC 3,0L 6
55761;FTA UVA LT FI LMPM (06)
55789;GUARANA KUAT PET2 8
55793;GUARAPAN PET2 8
55795;SCHWEPPES CSODA LT 6
55815;COCA-COLA PET2 8
55817;FANTA LARANJA PET2 8.
55818;CC SEM ACUCAR PET 2L 8U FL
55819;FANTA UVA PET2 8
55823;FANTA LAR SEM ACUCAR PET2L 8
55839;CC PET 2L 4 PACK PROMO
55851;SCHW CITRUS SA PET 1,5L 6U FL
55853;CC SEM ACUCAR PET 1,5L 6U FL
55908;FANTA UVA PET 2L 8 CP
55918;CC PET12 200ML
55919;CC SEM ACUCAR PET 200ML 12U FL
55932;CC PET 2,5L 4PACK FL
55933;CC PET 3L 4PACK FL
55934;CC SEM ACUCAR PET 600ML 6U FL
55935;CC PET 600ML 6 PACK FL
55937;CC PET RET 2L 9 REGIAO
55957;COCA-COLA 290ML VDR RET KS ULTRA
55977;COCA A 1 L VDR RET. LS ULTRA
55990;FANTA UVA 600ML 06PACK F.LISO
55993;COCA COLA PET 1L CX C 06
55994;CC SEM ACUCAR PET 1L 6U FL
55997;COCA COLA 600ML RET CX C 12
55998;CC PET 2L MAIS POR MENOS CX6
56008;FANTA LAR LATA 350ML CX C 06
56010;KUAT LATA 350ML CX C 6
56011;FANTA LARANJA PET 3L CX C 04
56012;FANTA LAR 290ML ULTRA CX C 24
56015;KUAT 290ML ULTRA CX C 24
56016;COCA COLA ZERO 290ML ULTRA CX C 24
56031;FANTA LAR PET 200ML (12) F.LISO
56047;FTA LAR SEM ACUCAR LT FL 6
56051;CC LT 310ML 6U FI MAINLINE
56052;CC LT 220ML 12U FI LMPM
56053;CC LT 220ML 12U FL
56055;CC SEM ACUCAR LT 220ML 12U FL
56057;FTA LAR LT 220ML 12U FL
56061;CC SEM ACUCAR LT 310ML 6U FI MAINLINE
56062;FTA LAR LT 310ML 6U FI MAINLINE
56071;FTA GUA PET 2L 6U FL
56074;FTA GUA LT 350ML 6U FI MAINLINE
56077;FTA GUA PET 1,5L 6U FL
56079;CHARRUA GUARANA PET 2L C8
56100;FTA GUA PET 2L 8U FL
56101;FTA LAR PET 600ML 12U FL
56102;FTA LAR PET 600ML 6U FL
56103;FTA GUA BIB 5L 1U
56105;FTA GUA BIB 18L 1U
56156;SCHWEPPES TONICA PET 1,5L C6
56169;CC LT12 350ML FL CP
56190;FTA GUA ZERO LT 350ML 6U FI MAINLINE
56197;SPRITE SA LT 350ML 12U FL
56198;SPRITE SA LT 350ML 6U FI LMPM
56199;SPRITE SA PET 2L 8U FL
56206;CC LT 310 ML 6U FI LMPM
56209;FTA GUA ZERO PET 2L 6U FL
56211;FTA GUA ZERO PET 2L 8U FL
56223;CC LIGHT LT 310ML 6U FL
56227;FTA LAR PET RET 2L REGIAO
56228;FTA UVA PET RET 2L REGIAO
56235;FTA GUA PET 3L FL 6U
56236;FTA GUA PET 3L FL 4U
56238;SPRITE FRESH LIMAO PET 510ML 6U FL
56245;FTA GUA PET 1,5L 8U FL
56249;FTA GUA PET 200ML 12U FL
56258;CC+FTA GUA PET 2L 4U 2X2 LMPM
56260;CC+FTA LAR PET 2L 4U 2X2 LMPM
56264;CC 250ML VIDRO OW (6) MAINLINE
56267;SPRITE ORIGINAL LT350ML 6U FIMAINLINE
56269;SPRITE ORIGINAL LT 350ML 6U FL
56271;SPRITE ORIGINAL PET 2L 6U FL
56273;SPRITE ORIGINAL PET 2L 8U FL
56280;CC SEM ACUCAR PET RET 2L 09U REGIAO
56281;FTA LAR PET RET 2L_TRI_REGIAO
56282;FTA UVA PET RET 2L_TRI_REGIAO
56284;SPRITE ORIGINAL 290ML ULTRA CX C 24
56287;COCA-COLA CAFE ESPRESSO LT 220ML 6U FI
56292;SCHW TONICA SA LT 350ML 6U FI MAINLINE
56294;GUARAPAN LT 220ML 12UN
56297;COCA-COLA LT 220ML 6U FI MAINLINE
56298;COCA-COLA PET 200ML 12U MAINLINE
56312;SCHW CITRUS ORIGINAL LT 350ML 6U FI
56314;SCHW CITRUS ORIGINAL PET 1,5L 6U FL
56320;FANTA UVA PET RET 2L (09)
56323;SPRITE ORIGINAL LT 220ML 12U FL
56324;SPRITE ORIGINAL LT 220ML 6U FI
56326;CC SEM ACUCAR PET RET 2L 09U
56327;FTA LARANJA PET RET 2L 9UN
56335;CC SEM ACUCAR LT 220ML 6U FI MAINLINE
56337;FTA GUA LT 220ML 6U FI MAINLINE
56339;FTA LAR LT 220ML 6U FI MAINLINE
56341;FTA UVA LT 220ML 6U FI MAINLINE
56343;KUAT LT 220ML 6U FI MAINLINE
56347;SPRITE ORIGINAL PET 200ML 12U FL
56350;SPRITE ORIGINAL PET 600ML 6U FL
56353;CC 250ML VIDRO OW (2X6) CARTONADO
56355;CC SA 250ML VIDRO OW (2X6) CARTONADO
56366;FTA LAR PET RET 2L_TRI
56367;FTA UVA PET RET 2L_TRI
56396;CC+FTA LAR PET 2L 4U FI LMPM
56397;SCHW TON 250MLVIDRO OW(2X6)CARTONADO
56407;SCHWCITRUS ORIG 250MLVIDOW(2X6)CARTON
56413;FT LARANJA LS 1L TRI 12UN
56415;FT UVA LS 1L TRI 12UN
56416;SPRITE FRESH LIMAO PET 510ML 12U FL
56419;SPRITE FRESH LIMAO PET 1,5L 6U FL
56422;FTA UVA RET 2L TRI GU (09)
56423;COCA-COLA ORIGINAL PET 2,5L (6) FL
56424;COCA-COLA ORIGINAL PET 2L (6) FL
56425;COCA-COLA ORIGINAL PET 3L (4) FL
56437;CHARRUA LATA 220ML 6U FL
56443;CC SEM ACUCAR PET 200ML 12U FI MAIN
56468;CC+CCSA PET 2L 4U 2X2
56475;COCA-COLA ORIGINAL PET 2,5L (4) FL
56476;COCA-COLA ORIGINAL PET 3L (6) FL
56494;CHARRUA LT 350ML 6U FI MAINLINE
56503;CC+FTA LAR PET 2L 4U 2X2 LMPM SCB
56504;CC+CCSA PET 2L 4U 2X2 LMPM SCB
56505;CC+SPRITE PET 2L 4U 2X2 LMPM SCB
56506;CC+FTA GUA PET 2L 4U 2X2 LMPM SCB
56512;SCHW TONICA SA LT 220ML 6U FI MAINLINE
56513;SCHW GINGER ALE LT 220ML 6U FI MAINLINE
56536;CC LT6 350ML PROMO SCB
56537;CC SEM ACUCAR LT 350ML 6U FI LMPM SCB
56538;CC SEM ACUCAR PET 600ML 6U FI LMPM SCB..
56539;CC 600 PET6UN PROMO SCB
56540;PACK MISTO PET 200ML 6CC+3FLAR+3FGUA FI
56560;FANTA GUA PET 200ML 12U FI MAIN
56561;FANTA LAR PET 200ML 12U FI MAIN
56568;SPRITE PET 200ML 12U FI MAIN
56578;COCA-COLA ORIGINAL PET 2L (6) LMPM
56579;FANTA UVA PET 200ML 12U FI MAIN
56580;FANTA UVA PET 200ML 12U FL
56598;COCA-COLA ORIGINAL PET 2,25L 6U FL
56599;COCA-COLA ORIGINAL PET 2L 4U PROMO
56600;COCA-COLA ORIGINAL PET 2L 8U FL
56601;BIPACK CCO+CCSA PET 2L (4) LMPM SCB 2X2
56602;BIPACK CCO+FTAGUA PET2L (4) LMPM SCB 2X2
56603;FOURPACK CCO + FTA GUA PET 2L(4) LMPM
56604;BIPACK CCO+FTALAR PET2L (4) LMPM SCB 2X2
56605;FOURPACK CCO + FTA LAR PET 2L(4) LMPM
56606;BIPACK CCO+SPRITE PET2L (4) LMPM SCB 2X2
56607;FOURPACK CCO + SPRITE PET 2L(4) LMPM
56612;PACK MISTO 4CC+2FTAGUA LT 350ML (6) LMPM
56613;PACK MISTO 4CC+2FTALAR LT 350ML (6) LMPM
56620;FTA TUTTI FRUTTI PET 2L 6U FL
56635;COCA-COLA GAR PET RET 2L(9) REGIAO
56636;COCA-COLA SA GAR PET RET 2L(9) REGIAO
