Data Calendario;Rotatividade pelo Calendario
01/01/2022;2ª Semana Quinzena
02/01/2022;2ª Semana Quinzena
03/01/2022;1ª Semana Quinzena
04/01/2022;1ª Semana Quinzena
05/01/2022;1ª Semana Quinzena
06/01/2022;1ª Semana Quinzena
07/01/2022;1ª Semana Quinzena
08/01/2022;1ª Semana Quinzena
09/01/2022;1ª Semana Quinzena
10/01/2022;2ª Semana Quinzena
11/01/2022;2ª Semana Quinzena
12/01/2022;2ª Semana Quinzena
13/01/2022;2ª Semana Quinzena
14/01/2022;2ª Semana Quinzena
15/01/2022;2ª Semana Quinzena
16/01/2022;2ª Semana Quinzena
17/01/2022;1ª Semana Quinzena
18/01/2022;1ª Semana Quinzena
19/01/2022;1ª Semana Quinzena
20/01/2022;1ª Semana Quinzena
21/01/2022;1ª Semana Quinzena
22/01/2022;1ª Semana Quinzena
23/01/2022;1ª Semana Quinzena
24/01/2022;2ª Semana Quinzena
25/01/2022;2ª Semana Quinzena
26/01/2022;2ª Semana Quinzena
27/01/2022;2ª Semana Quinzena
28/01/2022;2ª Semana Quinzena
29/01/2022;2ª Semana Quinzena
30/01/2022;2ª Semana Quinzena
31/01/2022;1ª Semana Quinzena
01/02/2022;1ª Semana Quinzena
02/02/2022;1ª Semana Quinzena
03/02/2022;1ª Semana Quinzena
04/02/2022;1ª Semana Quinzena
05/02/2022;1ª Semana Quinzena
06/02/2022;1ª Semana Quinzena
07/02/2022;2ª Semana Quinzena
08/02/2022;2ª Semana Quinzena
09/02/2022;2ª Semana Quinzena
10/02/2022;2ª Semana Quinzena
11/02/2022;2ª Semana Quinzena
12/02/2022;2ª Semana Quinzena
13/02/2022;2ª Semana Quinzena
14/02/2022;1ª Semana Quinzena
15/02/2022;1ª Semana Quinzena
16/02/2022;1ª Semana Quinzena
17/02/2022;1ª Semana Quinzena
18/02/2022;1ª Semana Quinzena
19/02/2022;1ª Semana Quinzena
20/02/2022;1ª Semana Quinzena
21/02/2022;2ª Semana Quinzena
22/02/2022;2ª Semana Quinzena
23/02/2022;2ª Semana Quinzena
24/02/2022;2ª Semana Quinzena
25/02/2022;2ª Semana Quinzena
26/02/2022;2ª Semana Quinzena
27/02/2022;2ª Semana Quinzena
28/02/2022;1ª Semana Quinzena
01/03/2022;1ª Semana Quinzena
02/03/2022;1ª Semana Quinzena
03/03/2022;1ª Semana Quinzena
04/03/2022;1ª Semana Quinzena
05/03/2022;1ª Semana Quinzena
06/03/2022;1ª Semana Quinzena
07/03/2022;2ª Semana Quinzena
08/03/2022;2ª Semana Quinzena
09/03/2022;2ª Semana Quinzena
10/03/2022;2ª Semana Quinzena
11/03/2022;2ª Semana Quinzena
12/03/2022;2ª Semana Quinzena
13/03/2022;2ª Semana Quinzena
14/03/2022;1ª Semana Quinzena
15/03/2022;1ª Semana Quinzena
16/03/2022;1ª Semana Quinzena
17/03/2022;1ª Semana Quinzena
18/03/2022;1ª Semana Quinzena
19/03/2022;1ª Semana Quinzena
20/03/2022;1ª Semana Quinzena
21/03/2022;2ª Semana Quinzena
22/03/2022;2ª Semana Quinzena
23/03/2022;2ª Semana Quinzena
24/03/2022;2ª Semana Quinzena
25/03/2022;2ª Semana Quinzena
26/03/2022;2ª Semana Quinzena
27/03/2022;2ª Semana Quinzena
28/03/2022;1ª Semana Quinzena
29/03/2022;1ª Semana Quinzena
30/03/2022;1ª Semana Quinzena
31/03/2022;1ª Semana Quinzena
01/04/2022;1ª Semana Quinzena
02/04/2022;1ª Semana Quinzena
03/04/2022;1ª Semana Quinzena
04/04/2022;2ª Semana Quinzena
05/04/2022;2ª Semana Quinzena
06/04/2022;2ª Semana Quinzena
07/04/2022;2ª Semana Quinzena
08/04/2022;2ª Semana Quinzena
09/04/2022;2ª Semana Quinzena
10/04/2022;2ª Semana Quinzena
11/04/2022;1ª Semana Quinzena
12/04/2022;1ª Semana Quinzena
13/04/2022;1ª Semana Quinzena
14/04/2022;1ª Semana Quinzena
15/04/2022;1ª Semana Quinzena
16/04/2022;1ª Semana Quinzena
17/04/2022;1ª Semana Quinzena
18/04/2022;2ª Semana Quinzena
19/04/2022;2ª Semana Quinzena
20/04/2022;2ª Semana Quinzena
21/04/2022;2ª Semana Quinzena
22/04/2022;2ª Semana Quinzena
23/04/2022;2ª Semana Quinzena
24/04/2022;2ª Semana Quinzena
25/04/2022;1ª Semana Quinzena
26/04/2022;1ª Semana Quinzena
27/04/2022;1ª Semana Quinzena
28/04/2022;1ª Semana Quinzena
29/04/2022;1ª Semana Quinzena
30/04/2022;1ª Semana Quinzena
01/05/2022;1ª Semana Quinzena
02/05/2022;2ª Semana Quinzena
03/05/2022;2ª Semana Quinzena
04/05/2022;2ª Semana Quinzena
05/05/2022;2ª Semana Quinzena
06/05/2022;2ª Semana Quinzena
07/05/2022;2ª Semana Quinzena
08/05/2022;2ª Semana Quinzena
09/05/2022;1ª Semana Quinzena
10/05/2022;1ª Semana Quinzena
11/05/2022;1ª Semana Quinzena
12/05/2022;1ª Semana Quinzena
13/05/2022;1ª Semana Quinzena
14/05/2022;1ª Semana Quinzena
15/05/2022;1ª Semana Quinzena
16/05/2022;2ª Semana Quinzena
17/05/2022;2ª Semana Quinzena
18/05/2022;2ª Semana Quinzena
19/05/2022;2ª Semana Quinzena
20/05/2022;2ª Semana Quinzena
21/05/2022;2ª Semana Quinzena
22/05/2022;2ª Semana Quinzena
23/05/2022;1ª Semana Quinzena
